score,pmid,year,journal,title,doi
125,28658462,2017,JAMA Dermatol,Isotretinoin and Timing of Procedural Interventions: A Systematic Review With Consensus Recommendations.,10.1001/jamadermatol.2017.2077
125,32472427,2020,Lasers Med Sci,"Efficacy, safety, and guidelines of application of the fractional ablative laser erbium YAG 2940 nm and non-ablative laser erbium glass in rejuvenation, skin spots, and acne in different skin phototypes: a systematic review.",10.1007/s10103-020-03046-7
120,38231537,2024,JMIR Dermatol,Hyaluronidase for Dermal Filler Complications: Review of Applications and Dosage Recommendations.,10.2196/50403
120,19958438,2009,J Cosmet Dermatol,Hyaluronidase in the correction of hyaluronic acid-based fillers: a review and a recommendation for use.,10.1111/j.1473-2165.2009.00462.x
100,34188752,2021,J Clin Aesthet Dermatol,Guideline for the Management of Hyaluronic Acid Filler-induced Vascular Occlusion.,
100,34840662,2021,J Clin Aesthet Dermatol,"Guideline for the Safe Use of Hyaluronidase in Aesthetic Medicine, Including Modified High-dose Protocol.",
100,37145319,2024,Aesthetic Plast Surg,"Allergic Complications of Hyaluronidase Injection: Risk Factors, Treatment Strategies, and Recommendations for Management.",10.1007/s00266-023-03348-5
95,31822960,2020,Aesthetic Plast Surg,Vision Loss Associated with Hyaluronic Acid Fillers: A Systematic Review of Literature.,10.1007/s00266-019-01562-8
95,36129182,2022,Dermatol Surg,Soft Tissue Dermal Filler-Associated Necrosis and Impending Necrosis: A Systematic Review of the Literature.,10.1097/DSS.0000000000003574
95,41249530,2025,Aesthetic Plast Surg,Hyaluronidase Protocol in Management of Hyaluronic Acid Filler-Related Vascular Complications: A Systematic Review and Meta-Analysis.,10.1007/s00266-025-05431-5
95,39214904,2024,Aesthetic Plast Surg,Conventional High-Dose vs Low-Dose Hyaluronidase for Skin Necrosis after Hyaluronic Acid Fillers: A Systematic Review and Pilot Meta-Analysis.,10.1007/s00266-024-04334-1
95,31880685,2020,Ophthalmic Plast Reconstr Surg,Examining the Role of Retrobulbar Hyaluronidase in Reversing Filler-Induced Blindness: A Systematic Review.,10.1097/IOP.0000000000001568
90,33282102,2020,J Clin Aesthet Dermatol,Case Series and Review on Managing Abscesses Secondary to Hyaluronic Acid Soft Tissue Fillers with Recommended Management Guidelines.,
90,37771016,2023,Skinmed,Rationale and Guidelines for the Use of Hyaluronidase: A Practical Guide for Complications Caused by Hyaluronic Acid.,
85,35787383,2022,Arch Soc Esp Oftalmol (Engl Ed),Effectiveness of retrobulbar hyaluronidase in the treatment of visual loss caused by periocular hyaluronic acid injection. A systematic review.,10.1016/j.oftale.2022.06.005
85,40406769,2025,Cureus,Risk Factor Analysis for Vascular Occlusions After Dermal Filler Injections: A Systematic Review and Meta-Analysis.,10.7759/cureus.82800
70,32185876,2020,J Cosmet Dermatol,Managing intravascular complications following treatment with calcium hydroxylapatite: An expert consensus.,10.1111/jocd.13353
